Folder Name
Cavus-Foot-I
Cavus-Foot-II
Cavus-Foot-III
Flat-Foot-I
Flat-Foot-II
Flat-Foot-III
Flat-Foot-IV
Hindfoot-valgus
Hindfoot-varus
Normal-Aligned
Normal-Foot
